,ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T3 (3.3MW),ATB T1 (6.0MW),ATB T1 (6.0MW),ATB T1 (6.0MW),SG 5.2-165,SG 5.2-165,SG 5.2-165,SG 7.0-170,SG 7.0-170,SG 7.0-170,V150-4.5,V150-4.5,V150-4.5
,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid,Empirical2020,Empirical2024Onshore,Prioritized_Hybrid
Component / Parameter Hierarchy,,,,,,,,,,,,,,,
            crane_cost,898.5028416000002,898.5028416000002,898.5028416000002,1253.0394240000003,1253.0394240000003,1253.0394240000003,1172.4629280000001,1172.4629280000001,1172.4629280000001,1253.0394240000003,1253.0394240000003,1253.0394240000003,930.7334400000001,930.7334400000001,930.7334400000001
            hvac_cost,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998,29925.167999999998
            nacelle_cover_cost,28992.010319999998,28992.010319999998,28992.010319999998,50532.106716,50532.106716,50532.106716,44149.855932,44149.855932,44149.855932,58509.920196,58509.920196,58509.920196,38565.386496,38565.386496,38565.386496
            controls_cost,76216.14,76216.14,76216.14,138574.8,138574.8,138574.8,120098.16,120098.16,120098.16,161670.59999999998,161670.59999999998,161670.59999999998,103931.09999999999,103931.09999999999,103931.09999999999
            electrical_connection_cost,150810.66,150810.66,150810.66,274201.2,274201.2,274201.2,237641.04000000004,237641.04000000004,237641.04000000004,319901.4,319901.4,319901.4,205650.9,205650.9,205650.9
        tower_cost,782864.9220059563,,782864.9220059563,1211238.1738542165,,1211238.1738542165,1035490.2121094806,,1035490.2121094806,1429753.5207506018,,1429753.5207506018,847928.0555714718,,847928.0555714718
TURBINE MASS,480993.5789050608,,494730.1969418768,719724.6924215625,,752302.3455002385,637971.8707395378,,666365.7609081627,799079.312318332,,831530.4101239315,523265.49366687273,,537196.7208385107
    rotor_mass,108163.60164500342,128294.98837743996,128294.98837743996,144822.69439278037,186649.19880359995,186649.19880359995,136150.43549879422,173386.87825220005,173386.87825220005,144822.69439278037,186649.19880359995,186649.19880359995,111334.76072810854,133599.916598,133599.916598
        blade_mass,18584.166423545998,21421.479999999996,21421.479999999996,23743.680923682845,29638.699999999997,29638.699999999997,22523.053285785067,27771.15,27771.15,23743.680923682845,29638.699999999997,29638.699999999997,19030.453432660448,22168.5,22168.5
        hub_mass,41066.72687979818,51222.32336399998,51222.32336399998,59534.17713013801,80634.21890999998,80634.21890999998,55165.18462581049,73949.697195,73949.697195,59534.17713013801,80634.21890999998,80634.21890999998,42664.12197152154,53896.13205,53896.13205
        pitch_system_mass,10795.55149456724,12259.40101344,12259.40101344,13457.489491593842,16498.8948936,16498.8948936,12827.733515628519,15535.3735572,15535.3735572,13457.489491593842,16498.8948936,16498.8948936,11025.80345860564,12644.809548000001,12644.809548000001
        nose_cone_mass,548.824,548.824,548.824,599.985,599.985,599.985,588.3575,588.3575,588.3575,599.985,599.985,599.985,553.475,553.475,553.475
    nacelle_mass,125619.88441998024,,119225.11572435971,192421.8370289664,,183172.9856968227,174838.29386475487,,165995.74127997409,202774.51588228976,,193399.10927706963,144175.2524627405,,135841.32376448702
        low_speed_shaft_mass,15040.702400000002,15040.702400000002,15040.702400000002,23520.840000000004,23520.840000000004,23520.840000000004,21407.335000000006,21407.335000000006,21407.335000000006,23520.840000000004,23520.840000000004,23520.840000000004,15724.0,15724.0,15724.0
        main_bearing_mass,7887.620363448211,7887.620363448211,7887.620363448211,12811.536566704246,12811.536566704246,12811.536566704246,11540.478079487219,11540.478079487219,11540.478079487219,12811.536566704246,12811.536566704246,12811.536566704246,8267.027881893227,8267.027881893227,8267.027881893227
        gearbox_mass,30122.1427696946,23727.374074074076,23727.374074074076,48852.03281362515,39603.18148148148,39603.18148148148,43607.734066262274,34765.181481481486,34765.181481481486,54055.50166694854,44680.095061728396,44680.095061728396,39600.628698253495,31266.700000000004,31266.700000000004
        braking_system_mass,656.976,656.976,656.976,1192.953,1192.953,1192.953,1034.145,1034.145,1034.145,1391.463,1391.463,1391.463,895.188,895.188,895.188
        generator_mass,9291.8,9291.8,9291.8,14027.6,14027.6,14027.6,12624.400000000001,12624.400000000001,12624.400000000001,15781.6,15781.6,15781.6,11396.6,11396.6,11396.6
        transformer_power_electronics_mass,8229.5,8229.5,8229.5,13400.0,13400.0,13400.0,11868.0,11868.0,11868.0,15315.0,15315.0,15315.0,10527.5,10527.5,10527.5
        yaw_system_mass,7960.700486837422,7960.700486837422,7960.700486837422,12330.148648637007,12330.148648637007,12330.148648637007,11221.129719005381,11221.129719005381,11221.129719005381,12330.148648637007,12330.148648637007,12330.148648637007,8305.307882593806,8305.307882593806,8305.307882593806
        bedplate_mass,41140.240000000005,41140.240000000005,41140.240000000005,57373.600000000006,57373.600000000006,57373.600000000006,53684.2,53684.2,53684.2,57373.600000000006,57373.600000000006,57373.600000000006,42616.0,42616.0,42616.0
        railing_platform_mass,205.70120000000003,205.70120000000003,205.70120000000003,286.86800000000005,286.86800000000005,286.86800000000005,268.421,268.421,268.421,286.86800000000005,286.86800000000005,286.86800000000005,213.08,213.08,213.08
        crane_mass,205.70120000000003,205.70120000000003,205.70120000000003,286.86800000000005,286.86800000000005,286.86800000000005,268.421,268.421,268.421,286.86800000000005,286.86800000000005,286.86800000000005,213.08,213.08,213.08
        hvac_mass,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0
        nacelle_cover_mass,4657.799999999999,4657.799999999999,4657.799999999999,8118.39,8118.39,8118.39,7093.03,7093.03,7093.03,9400.09,9400.09,9400.09,6195.84,6195.84,6195.84
    tower_mass,247210.09284007715,,247210.09284007715,382480.16099981574,,382480.16099981574,326983.1413759886,,326983.1413759886,451482.1020432619,,451482.1020432619,267755.4804760237,,267755.4804760237
SPECIFIC METRICS / DIMENSIONS,1233.1411544679906,,1219.4046990304114,1015.9940565884306,,1022.3511871849029,1052.2005651846027,,1051.167653175613,939.1656276433407,,938.9601841378782,1004.1604894010304,,980.8296248450174
    turbine_rating_MW,3.3,3.3,3.3,6.0,6.0,6.0,5.2,5.2,5.2,7.0,7.0,7.0,4.5,4.5,4.5
    rotor_diameter,148.0,148.0,148.0,170.0,170.0,170.0,165.0,165.0,165.0,170.0,170.0,170.0,150.0,150.0,150.0
    rotor_radius,74.0,74.0,74.0,85.0,85.0,85.0,82.5,82.5,82.5,85.0,85.0,85.0,75.0,75.0,75.0
    hub_height,100.0,100.0,100.0,115.0,115.0,115.0,105.0,105.0,105.0,135.0,135.0,135.0,105.0,105.0,105.0
    swept_area,17203.36137105771,17203.36137105771,17203.36137105771,22698.006922186254,22698.006922186254,22698.006922186254,21382.46499849553,21382.46499849553,21382.46499849553,22698.006922186254,22698.006922186254,22698.006922186254,17671.458676442588,17671.458676442588,17671.458676442588
    rotor_angular_velocity_max,1.2162162162162162,1.2162162162162162,1.2162162162162162,1.0588235294117647,1.0588235294117647,1.0588235294117647,1.0909090909090908,1.0909090909090908,1.0909090909090908,1.0588235294117647,1.0588235294117647,1.0588235294117647,1.0933333333333333,1.0933333333333333,1.0933333333333333
    rotor_angular_velocity_max_rpm,11.61400936075993,11.61400936075993,11.61400936075993,10.111019914073351,10.111019914073351,10.111019914073351,10.417414456924057,10.417414456924057,10.417414456924057,10.111019914073351,10.111019914073351,10.111019914073351,10.440564266828334,10.440564266828334,10.440564266828334
    rotor_torque_max,3014814.814814815,3014814.814814815,3014814.814814815,6296296.296296296,6296296.296296296,6296296.296296296,5296296.296296297,5296296.296296297,5296296.296296297,7345679.012345679,7345679.012345679,7345679.012345679,4573170.731707318,4573170.731707318,4573170.731707318
    nacelle_length,10.341868,10.341868,10.341868,14.508399999999998,14.508399999999998,14.508399999999998,13.735648,13.735648,13.735648,15.0,15.0,15.0,12.740499999999999,12.740499999999999,12.740499999999999
    nacelle_surface_area,46.538406,46.538406,46.538406,65.28779999999999,65.28779999999999,65.28779999999999,61.810416,61.810416,61.810416,67.5,67.5,67.5,57.332249999999995,57.332249999999995,57.332249999999995
    blade_surface_area,180.0,180.0,180.0,207.5,207.5,207.5,201.25,201.25,201.25,207.5,207.5,207.5,182.5,182.5,182.5
    hub_surface_area,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
    nacelle_lift_height,102.0,102.0,102.0,117.0,117.0,117.0,107.0,107.0,107.0,137.0,137.0,137.0,107.0,107.0,107.0
    num_tower_sections,4,4.0,4,5,5.0,5,5,4.0,4.0,6,6.0,6,4,4.0,4
    tower_base_diameter,,4.457646553493277,4.457646553493277,,4.61350748202008,4.61350748202008,,4.511449277890009,4.511449277890009,,4.799043693074045,4.799043693074045,,4.511449277890009,4.511449277890009
    tower_top_base_diameter_ratio,,0.7343801919811388,0.7343801919811388,,0.7114530493948461,0.7114530493948461,,0.7264658112223796,0.7264658112223796,,0.6841606727488078,0.6841606727488078,,0.7264658112223796,0.7264658112223796
